Timestamp,Value,Status,Comment
2020-01-16 15:00:00,1998167,0,""
2020-01-16 15:15:00,1998274,0,""
2020-01-16 15:30:00,1998380,0,""
2020-01-16 15:45:00,1998492,0,""
2020-01-16 16:00:00,1998500,0,""
2020-01-16 16:15:00,1998600,0,""
2020-01-16 16:30:00,1998700,0,""
2020-01-16 16:45:00,1998800,0,""
2020-01-16 17:00:00,1998900,0,""
2020-01-16 17:15:00,1999000,0,""
2020-01-16 17:30:00,1999100,0,""
2020-01-16 17:45:00,1999200,0,""
2020-01-16 18:00:00,1999300,0,""
2020-01-16 18:15:00,1999400,0,""
2020-01-16 19:00:00,1999.7,0,""
2020-01-16 19:15:00,1999.8,0,""
2020-01-16 19:30:00,1999.9,0,""
2020-01-16 19:45:00,2000,0,""
2020-01-16 20:00:00,2000.1,0,""
2020-01-16 20:15:00,2000.2,0,""
2020-01-16 20:30:00,2000.3,0,""
2020-01-16 20:45:00,2000.4,0,""
2020-01-16 21:00:00,2000.5,0,""
