"Location: PAMTest_Capriata/Saiwa"
Measurement: Baseline
"Model: Site Schduel"
Date Range: 1/1/2023 - 12/31/2023
Interval: Hourly
"Modeled Measurement: Energy (kWh)"
"Driver Measurements: Temperature (°C)"
"Expression: (199.942285426129+10.2253658819428*(AGGREGATE PER HOUR({PAM(\87198:87198, 18, °C)})-2.22222222222222))*{SiteSchedule(hour,TOU,On Peak:1,0)}+(270.812194692224+4.65716674484241*(AGGREGATE PER HOUR({PAM(\87198:87198, 18, °C)})-1.11111111111111))*{SiteSchedule(hour,TOU,Off Peak:1,0)}"

Timestamp,Actual,Temperature (°C),Baseline,Difference,CUSUM
2023-01-01 01:00:00,360,13.88888888888889,330.3204364318774,-29.679563568122603,-29.679563568122603
2023-01-01 02:00:00,345,13.88888888888889,330.3204364318774,-14.679563568122603,-44.359127136245206
2023-01-01 03:00:00,353,13.88888888888889,330.3204364318774,-22.679563568122603,-67.03869070436781
2023-01-01 04:00:00,356,13.88888888888889,330.3204364318774,-25.679563568122603,-92.71825427249041
2023-01-01 05:00:00,352,12.777777777777779,325.14580671538585,-26.854193284614155,-119.57244755710457
2023-01-01 06:00:00,356,12.777777777777779,325.14580671538585,-30.854193284614155,-150.42664084171872
2023-01-01 07:00:00,360,12.777777777777779,325.14580671538585,-34.854193284614155,-185.28083412633288
2023-01-01 08:00:00,344,12.777777777777779,325.14580671538585,-18.854193284614155,-204.13502741094703
2023-01-01 09:00:00,349,12.222222222222221,302.1959442455577,-46.80405575444229,-250.93908316538932
2023-01-01 10:00:00,348,12.777777777777779,307.87670306885934,-40.12329693114066,-291.06238009653
2023-01-01 11:00:00,344,13.88888888888889,319.2382207154625,-24.76177928453751,-315.8241593810675
2023-01-01 12:00:00,352,13.88888888888889,319.2382207154625,-32.76177928453751,-348.585938665605
2023-01-01 13:00:00,346,13.88888888888889,319.2382207154625,-26.76177928453751,-375.3477179501425
2023-01-01 14:00:00,343,13.88888888888889,319.2382207154625,-23.76177928453751,-399.10949723468
2023-01-01 15:00:00,349,12.777777777777779,307.87670306885934,-41.12329693114066,-440.2327941658207
2023-01-01 16:00:00,349,15,330.59973836206564,-18.400261637934364,-458.63305580375504
