Timestamp,Value,Status,Notes
2020-09-16 23:15:00,21196204,2,
2020-09-16 23:30:00,21196776,2,
2020-09-16 23:45:00,21197346,2,
2020-09-17 00:00:00,21197892,2,
2020-09-17 00:15:00,21198440,2,
2020-09-17 00:30:00,21198992,2,
2020-09-17 00:45:00,21199556,2,
2020-09-17 01:00:00,21200124,2,
2020-09-17 01:15:00,21200698,2,
2020-09-17 01:30:00,21201276,2,
2020-09-17 01:45:00,21201856,2,
2020-09-17 02:00:00,21202416,2,
2020-09-17 02:15:00,21202970,2,
2020-09-17 02:30:00,21203550,2,
2020-09-17 02:45:00,21204136,2,
2020-09-17 03:00:00,21204740,2,
2020-09-17 03:15:00,21205338,2,
2020-09-17 03:30:00,21205912,2,
2020-09-17 03:45:00,21206512,2,
2020-09-17 04:00:00,21207128,2,
2020-09-17 04:15:00,21207744,2,
2020-09-17 04:30:00,21208358,2,
2020-09-17 04:45:00,21208974,2,
2020-09-17 05:00:00,21209596,2,
2020-09-17 05:15:00,21210220,2,
2020-09-17 05:30:00,21210884,2,
2020-09-17 05:45:00,21211548,2,
2020-09-17 06:00:00,21212232,2,
2020-09-17 06:15:00,21212946,2,
2020-09-17 06:30:00,21213656,2,
2020-09-17 06:45:00,21214344,2,
2020-09-17 07:00:00,21215036,2,
2020-09-17 07:15:00,21215740,2,
2020-09-17 07:30:00,21216436,2,
2020-09-17 07:45:00,21217132,2,
2020-09-17 08:00:00,21217832,2,
2020-09-17 08:15:00,21218532,2,
2020-09-17 08:30:00,21219234,2,
2020-09-17 08:45:00,21219936,2,
2020-09-17 09:00:00,21220632,2,
2020-09-17 09:15:00,21221320,2,
2020-09-17 09:30:00,21222008,2,
2020-09-17 09:45:00,21222674,2,
2020-09-17 10:00:00,21223328,2,
2020-09-17 10:15:00,21223992,2,
2020-09-17 10:30:00,21224632,2,
2020-09-17 10:45:00,21225278,2,
2020-09-17 11:00:00,21225936,2,
2020-09-17 11:15:00,21226576,2,
2020-09-17 11:30:00,21227212,2,
2020-09-17 11:45:00,21227844,2,
2020-09-17 12:00:00,21228468,2,
2020-09-17 12:15:00,21229102,2,
2020-09-17 12:30:00,21229748,2,
2020-09-17 12:45:00,21230392,2,
2020-09-17 13:00:00,21231008,2,
2020-09-17 13:15:00,21231596,2,
2020-09-17 13:30:00,21232196,2,
2020-09-17 13:45:00,21232822,2,
2020-09-17 14:00:00,21233456,2,
2020-09-17 14:15:00,21234080,2,
2020-09-17 14:30:00,21234704,2,
2020-09-17 14:45:00,21235316,2,
2020-09-17 15:00:00,21235934,2,
2020-09-17 15:15:00,21236528,2,
2020-09-17 15:30:00,21237126,2,
2020-09-17 15:45:00,21237720,2,
2020-09-17 16:00:00,21238316,2,
2020-09-17 16:15:00,21238908,2,
2020-09-17 16:30:00,21239512,2,
2020-09-17 16:45:00,21240120,2,
2020-09-17 17:00:00,21240724,2,
2020-09-17 17:15:00,21241318,2,
2020-09-17 17:30:00,21241912,2,
2020-09-17 17:45:00,21242492,2,
2020-09-17 18:00:00,21243090,2,
2020-09-17 18:15:00,21243708,2,
2020-09-17 18:30:00,21244312,2,
2020-09-17 18:45:00,21244900,2,
2020-09-17 19:00:00,21245496,2,
2020-09-17 19:15:00,21246098,2,
2020-09-17 19:30:00,21246684,2,
2020-09-17 19:45:00,21247276,2,
2020-09-17 20:00:00,21247874,2,
2020-09-17 20:15:00,21248464,2,
2020-09-17 20:30:00,21249030,2,
2020-09-17 20:45:00,21249568,2,
2020-09-17 21:00:00,21250092,2,
2020-09-17 21:15:00,21250600,2,
2020-09-17 21:30:00,21251146,2,
2020-09-17 21:45:00,21251692,2,
2020-09-17 22:00:00,21252236,2,
2020-09-17 22:15:00,21252780,2,
2020-09-17 22:30:00,21253320,2,
2020-09-17 22:45:00,21253862,2,
2020-09-17 23:00:00,21254400,2,
2020-09-17 23:15:00,21254944,2,
2020-09-17 23:30:00,21255472,2,
2020-09-17 23:45:00,21256000,2,
2020-09-18 00:00:00,21256536,2,
2020-09-18 00:15:00,21257068,2,
2020-09-18 00:30:00,21257608,2,
2020-09-18 00:45:00,21258148,2,
2020-09-18 01:00:00,21258678,2,
2020-09-18 01:15:00,21259214,2,
2020-09-18 01:30:00,21259748,2,
2020-09-18 01:45:00,21260292,2,
2020-09-18 02:00:00,21260826,2,
2020-09-18 02:15:00,21261372,2,
2020-09-18 02:30:00,21261916,2,
2020-09-18 02:45:00,21262466,2,
2020-09-18 03:00:00,21263020,2,
2020-09-18 03:15:00,21263564,2,
